epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,382.04,1.23523,1.4576,1.4478,0.69679,0.5508,0.62327,0.42914,1.2691,1.30179,1.43993,0.00333084,0.00333084,0.00333084
2,738.786,1.23343,1.43808,1.44837,0.68976,0.54881,0.61564,0.42159,1.28952,1.32253,1.45214,0.00649924,0.00649924,0.00649924
3,1085.92,1.26519,1.48969,1.46214,0.66917,0.53249,0.59503,0.40407,1.32092,1.37183,1.47756,0.00950263,0.00950263,0.00950263
4,1432.3,1.29356,1.53458,1.47816,0.66955,0.52962,0.59591,0.40482,1.30405,1.3822,1.4595,0.0092575,0.0092575,0.0092575
5,1778.41,1.28151,1.51275,1.46619,0.66363,0.54453,0.60559,0.41381,1.29773,1.33934,1.44591,0.00901,0.00901,0.00901
6,2124.42,1.27316,1.49179,1.45599,0.68296,0.54776,0.60977,0.41326,1.30133,1.34249,1.44937,0.0087625,0.0087625,0.0087625
7,2472.81,1.25965,1.47029,1.4495,0.6951,0.55032,0.62203,0.42863,1.28247,1.30537,1.43999,0.008515,0.008515,0.008515
8,2820.03,1.24597,1.44466,1.43671,0.68508,0.55205,0.62182,0.42189,1.27376,1.29701,1.43144,0.0082675,0.0082675,0.0082675
9,3165.07,1.24069,1.43593,1.43434,0.68944,0.56363,0.62499,0.42779,1.26528,1.28579,1.42617,0.00802,0.00802,0.00802
10,3511.42,1.22502,1.40784,1.42302,0.70275,0.5613,0.63383,0.43845,1.24626,1.25853,1.40916,0.0077725,0.0077725,0.0077725
11,3858.11,1.21716,1.39389,1.41216,0.71221,0.5662,0.64301,0.44621,1.23883,1.24307,1.39644,0.007525,0.007525,0.007525
