epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,413.033,2.80117,3.95246,3.21118,0.14936,0.13612,0.07392,0.02703,2.38969,3.21131,2.61371,0.000333084,0.000333084,0.000333084
2,793.471,1.99931,2.84064,2.18795,0.2912,0.25197,0.19349,0.10234,1.97629,2.57821,2.12841,0.000640027,0.000640027,0.000640027
3,1161.93,1.78446,2.48857,1.95045,0.36842,0.29058,0.26185,0.14223,1.84373,2.38429,2.01074,0.000920571,0.000920571,0.000920571
4,1527.94,1.67164,2.29541,1.84464,0.40946,0.36776,0.3526,0.21114,1.68027,2.05062,1.86175,0.0008812,0.0008812,0.0008812
5,1891.9,1.58213,2.14584,1.75994,0.48038,0.36791,0.37928,0.22708,1.63867,1.97426,1.80634,0.0008416,0.0008416,0.0008416
6,2255.42,1.53315,2.04257,1.70834,0.53519,0.41191,0.43982,0.27536,1.54405,1.80861,1.7055,0.000802,0.000802,0.000802
7,2619.93,1.48211,1.93741,1.66421,0.56896,0.428,0.46489,0.29719,1.50851,1.77101,1.66206,0.0007624,0.0007624,0.0007624
8,2980.96,1.44909,1.8632,1.63117,0.58401,0.44267,0.49052,0.31754,1.46711,1.65645,1.63005,0.0007228,0.0007228,0.0007228
9,3341.28,1.42103,1.82411,1.61187,0.59189,0.45962,0.50099,0.32324,1.44194,1.63467,1.60112,0.0006832,0.0006832,0.0006832
10,3703.97,1.38822,1.75019,1.57939,0.58484,0.4891,0.52625,0.34539,1.41539,1.55792,1.57488,0.0006436,0.0006436,0.0006436
11,4067.26,1.36288,1.70846,1.55632,0.63725,0.48907,0.54285,0.35912,1.38457,1.51029,1.54989,0.000604,0.000604,0.000604
12,4427.13,1.34564,1.66674,1.54049,0.62874,0.51294,0.56621,0.37648,1.35333,1.4583,1.52218,0.0005644,0.0005644,0.0005644
13,4789.16,1.32395,1.62192,1.52399,0.64916,0.51583,0.574,0.38326,1.34202,1.43587,1.51054,0.0005248,0.0005248,0.0005248
14,5150.71,1.31214,1.59433,1.51013,0.65968,0.52605,0.58875,0.39784,1.31292,1.38738,1.48397,0.0004852,0.0004852,0.0004852
15,5512.24,1.29206,1.55741,1.49525,0.67939,0.53009,0.60151,0.4063,1.30003,1.36862,1.47342,0.0004456,0.0004456,0.0004456
16,5902.4,1.31848,1.4778,1.50337,0.69534,0.54194,0.6141,0.41834,1.28001,1.33278,1.45263,0.000406,0.000406,0.000406
17,6258.78,1.29066,1.42226,1.48098,0.69267,0.55123,0.62366,0.42867,1.26649,1.30744,1.44739,0.0003664,0.0003664,0.0003664
18,6616.7,1.27855,1.38684,1.46787,0.70293,0.55754,0.63114,0.43421,1.25502,1.27933,1.43394,0.0003268,0.0003268,0.0003268
19,6972.51,1.25862,1.35843,1.45772,0.69723,0.57118,0.6397,0.44226,1.24384,1.26266,1.42494,0.0002872,0.0002872,0.0002872
20,7331.48,1.23654,1.31261,1.43872,0.70518,0.57791,0.6447,0.44681,1.23877,1.24052,1.4156,0.0002476,0.0002476,0.0002476
21,7687.75,1.22085,1.27582,1.42414,0.71404,0.58497,0.6547,0.45521,1.23064,1.22087,1.41071,0.000208,0.000208,0.000208
22,8043.92,1.20844,1.25282,1.41585,0.71041,0.59108,0.66017,0.45967,1.22437,1.2094,1.40664,0.0001684,0.0001684,0.0001684
23,8400.85,1.19254,1.225,1.40499,0.72381,0.59216,0.66444,0.46234,1.21824,1.19746,1.40037,0.0001288,0.0001288,0.0001288
24,8759.77,1.18358,1.20756,1.39272,0.71812,0.58821,0.66484,0.46537,1.21096,1.19178,1.39401,8.92e-05,8.92e-05,8.92e-05
25,9118.91,1.16806,1.18116,1.38333,0.72425,0.59921,0.66787,0.46734,1.21098,1.18176,1.393,4.96e-05,4.96e-05,4.96e-05
