epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,396.458,1.23523,1.4576,1.4478,0.69679,0.5508,0.62327,0.42914,1.2691,1.30179,1.43993,0.00333084,0.00333084,0.00333084
2,764.955,1.23343,1.43808,1.44837,0.68976,0.54881,0.61564,0.42159,1.28952,1.32253,1.45214,0.00649924,0.00649924,0.00649924
3,1124.29,1.26519,1.48969,1.46214,0.66917,0.53249,0.59503,0.40407,1.32092,1.37183,1.47756,0.00950263,0.00950263,0.00950263
4,1481.23,1.29356,1.53458,1.47816,0.66955,0.52962,0.59591,0.40482,1.30405,1.3822,1.4595,0.0092575,0.0092575,0.0092575
5,1837.45,1.28151,1.51275,1.46619,0.66363,0.54453,0.60559,0.41381,1.29773,1.33934,1.44591,0.00901,0.00901,0.00901
6,2194.68,1.27316,1.49179,1.45599,0.68296,0.54776,0.60977,0.41326,1.30133,1.34249,1.44937,0.0087625,0.0087625,0.0087625
7,2551.82,1.25965,1.47029,1.4495,0.6951,0.55032,0.62203,0.42863,1.28247,1.30537,1.43999,0.008515,0.008515,0.008515
8,2909.4,1.24597,1.44466,1.43671,0.68508,0.55205,0.62182,0.42189,1.27376,1.29701,1.43144,0.0082675,0.0082675,0.0082675
9,3267,1.24069,1.43593,1.43434,0.68944,0.56363,0.62499,0.42779,1.26528,1.28579,1.42617,0.00802,0.00802,0.00802
10,3623.15,1.22502,1.40784,1.42302,0.70275,0.5613,0.63383,0.43845,1.24626,1.25853,1.40916,0.0077725,0.0077725,0.0077725
11,3980.07,1.21716,1.39389,1.41216,0.71221,0.5662,0.64301,0.44621,1.23883,1.24307,1.39644,0.007525,0.007525,0.007525
12,4336.24,1.20854,1.37921,1.40783,0.70984,0.57184,0.64805,0.44907,1.22858,1.22133,1.39244,0.0072775,0.0072775,0.0072775
13,4693.33,1.19993,1.36016,1.40211,0.70619,0.58459,0.6498,0.45053,1.2218,1.21178,1.38579,0.00703,0.00703,0.00703
14,5051.04,1.19687,1.34825,1.39653,0.7108,0.58483,0.6577,0.45966,1.20687,1.19106,1.37533,0.0067825,0.0067825,0.0067825
15,5408.19,1.1859,1.3311,1.39109,0.71411,0.59665,0.66927,0.46703,1.20511,1.17542,1.37228,0.006535,0.006535,0.006535
16,5764.81,1.18856,1.33723,1.39109,0.72267,0.58902,0.66523,0.4652,1.19874,1.1738,1.36743,0.0062875,0.0062875,0.0062875
17,6121.77,1.18912,1.32769,1.39058,0.71223,0.60216,0.67062,0.47027,1.18992,1.16067,1.36483,0.00604,0.00604,0.00604
18,6477.99,1.18154,1.31389,1.38414,0.72808,0.60702,0.67817,0.47501,1.18328,1.14455,1.35881,0.0057925,0.0057925,0.0057925
19,6834.2,1.1709,1.29808,1.37464,0.74077,0.608,0.68403,0.48136,1.17686,1.13795,1.34916,0.005545,0.005545,0.005545
20,7190.66,1.16381,1.28247,1.36873,0.73835,0.60944,0.6874,0.48279,1.17106,1.1256,1.34748,0.0052975,0.0052975,0.0052975
21,7546.81,1.15821,1.27597,1.36746,0.73931,0.61925,0.68904,0.48493,1.16877,1.12096,1.3429,0.00505,0.00505,0.00505
22,7903.04,1.15233,1.26348,1.36583,0.74825,0.62636,0.69837,0.49313,1.15857,1.10075,1.33428,0.0048025,0.0048025,0.0048025
23,8259.71,1.14384,1.24029,1.35402,0.73872,0.6262,0.69991,0.49445,1.16032,1.09623,1.33724,0.004555,0.004555,0.004555
24,8615.36,1.13773,1.24044,1.35415,0.74286,0.62299,0.70025,0.49527,1.14999,1.08971,1.32833,0.0043075,0.0043075,0.0043075
25,8971.25,1.14156,1.22843,1.34763,0.74762,0.62716,0.70258,0.49932,1.14848,1.08057,1.3247,0.00406,0.00406,0.00406
26,9326.78,1.13522,1.22442,1.34486,0.74766,0.63152,0.70301,0.49948,1.14348,1.07883,1.32244,0.0038125,0.0038125,0.0038125
27,9683.21,1.11777,1.20425,1.33846,0.75651,0.62811,0.70751,0.50263,1.13878,1.06969,1.31702,0.003565,0.003565,0.003565
28,10038.9,1.1212,1.19487,1.33574,0.75779,0.63337,0.70914,0.5052,1.13299,1.064,1.31391,0.0033175,0.0033175,0.0033175
29,10396.6,1.10688,1.17945,1.32593,0.75199,0.64176,0.71245,0.50692,1.13456,1.06013,1.31461,0.00307,0.00307,0.00307
30,10754.3,1.10634,1.16971,1.32735,0.75606,0.64304,0.71343,0.50935,1.13296,1.05438,1.31107,0.0028225,0.0028225,0.0028225
31,11144.7,1.10776,1.06781,1.31399,0.76003,0.64073,0.71629,0.51048,1.12897,1.04653,1.31087,0.002575,0.002575,0.002575
32,11499,1.09371,1.04018,1.30258,0.76048,0.64358,0.71725,0.51386,1.12282,1.04165,1.30764,0.0023275,0.0023275,0.0023275
33,11853,1.0864,1.02751,1.29709,0.76287,0.64841,0.72101,0.51713,1.11995,1.03494,1.30514,0.00208,0.00208,0.00208
34,12207.6,1.07155,1.00279,1.28784,0.7657,0.65162,0.72321,0.51909,1.1183,1.03031,1.30387,0.0018325,0.0018325,0.0018325
35,12562.4,1.06969,0.99474,1.28479,0.76609,0.65216,0.72466,0.52121,1.11682,1.02663,1.30294,0.001585,0.001585,0.001585
36,12917.2,1.05986,0.97499,1.27588,0.77133,0.65216,0.72615,0.52172,1.11637,1.02535,1.30235,0.0013375,0.0013375,0.0013375
37,13273.3,1.05037,0.96259,1.27114,0.77138,0.65043,0.726,0.52136,1.11678,1.02443,1.30212,0.00109,0.00109,0.00109
38,13628.1,1.04441,0.94654,1.26643,0.77349,0.65176,0.72729,0.52188,1.11707,1.02159,1.30249,0.0008425,0.0008425,0.0008425
39,13983.3,1.03316,0.93768,1.25993,0.77741,0.64931,0.72734,0.52258,1.11592,1.02024,1.30125,0.000595,0.000595,0.000595
40,14338.6,1.03125,0.92584,1.25497,0.77234,0.65362,0.7277,0.52319,1.11563,1.0193,1.30073,0.0003475,0.0003475,0.0003475
